1-t,2-t,label
-70.71851,-62.13266,early_19th-century_style
-63.104702,-50.935036,late_19th-century_style
-63.104702,-50.935036,late_19th-century_style
-80.81865,-43.830105,18th-century_style
-89.0492,-41.045513,contemporary
-49.37465,-28.333189,late_19th-century_style
-82.757324,-46.84997,18th-century_style
-46.889008,69.59682,late_19th-century_style
-85.269226,-48.523186,18th-century_style
-64.48123,-30.060987,late_19th-century_style
-86.61615,-51.588398,18th-century_style
-76.74481,-42.969482,contemporary
-45.513824,-18.483711,contemporary
-84.945145,-47.59304,18th-century_style
-86.71437,-17.562696,late_19th-century_style
-73.68391,-71.29674,contemporary
-47.978325,-52.894608,late_19th-century_style
